,stockx_link,stockx_name,type_1,type_2,type_3,model,right,r_d,straight,l_d,left,back,Style,Colorway,RetailPrice,ReleaseDate
0,https://stockx.com/nike-ld-waffle-sacai-white-nylon,Nike LD Waffle Sacai White Nylon,Other,Running,Running,LD Waffle Sacai,"https://stockx-360.imgix.net/Nike-LD-Waffle-Sacai-White-Nylon/Images/Nike-LD-Waffle-Sacai-White-Nylon/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1584025585","https://stockx-360.imgix.net/Nike-LD-Waffle-Sacai-White-Nylon/Images/Nike-LD-Waffle-Sacai-White-Nylon/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1584025585","https://stockx-360.imgix.net/Nike-LD-Waffle-Sacai-White-Nylon/Images/Nike-LD-Waffle-Sacai-White-Nylon/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1584025585","https://stockx-360.imgix.net/Nike-LD-Waffle-Sacai-White-Nylon/Images/Nike-LD-Waffle-Sacai-White-Nylon/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1584025585","https://stockx-360.imgix.net/Nike-LD-Waffle-Sacai-White-Nylon/Images/Nike-LD-Waffle-Sacai-White-Nylon/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1584025585","https://stockx-360.imgix.net/Nike-LD-Waffle-Sacai-White-Nylon/Images/Nike-LD-Waffle-Sacai-White-Nylon/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1584025585",BV0073-101,White/White,$160,03/10/2020
1,https://stockx.com/nike-ld-waffle-sacai-black-nylon,Nike LD Waffle Sacai Black Nylon,Other,Running,Running,LD Waffle Sacai,"https://stockx-360.imgix.net/Nike-LD-Waffle-Sacai-Black-Nylon/Images/Nike-LD-Waffle-Sacai-Black-Nylon/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1584757351","https://stockx-360.imgix.net/Nike-LD-Waffle-Sacai-Black-Nylon/Images/Nike-LD-Waffle-Sacai-Black-Nylon/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1584757351","https://stockx-360.imgix.net/Nike-LD-Waffle-Sacai-Black-Nylon/Images/Nike-LD-Waffle-Sacai-Black-Nylon/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1584757351","https://stockx-360.imgix.net/Nike-LD-Waffle-Sacai-Black-Nylon/Images/Nike-LD-Waffle-Sacai-Black-Nylon/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1584757351","https://stockx-360.imgix.net/Nike-LD-Waffle-Sacai-Black-Nylon/Images/Nike-LD-Waffle-Sacai-Black-Nylon/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1584757351","https://stockx-360.imgix.net/Nike-LD-Waffle-Sacai-Black-Nylon/Images/Nike-LD-Waffle-Sacai-Black-Nylon/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1584757351",BV0073-002,Black/Black,$160,03/10/2020
2,https://stockx.com/nike-air-force-1-low-supreme-box-logo-white,Nike Air Force 1 Low Supreme White,Air Force,1,Air Force 1,Air Force 1,"https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Images/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583951149","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Images/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583951149","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Images/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583951149","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Images/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583951149","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Images/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583951149","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Images/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583951149",CU9225-100,White/White-White,$96,03/05/2020
3,https://stockx.com/nike-dunk-low-sp-syracuse,Nike Air Force 1 Low Supreme White,Air Force,1,Air Force 1,Air Force 1,"https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Images/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583951149","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Images/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583951149","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Images/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583951149","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Images/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583951149","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Images/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583951149","https://stockx-360.imgix.net/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Images/Nike-Air-Force-1-Low-Supreme-Box-Logo-White/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583951149",CU9225-100,White/White-White,$96,03/05/2020
4,https://stockx.com/nike-air-max-90-reverse-duck-camo-2020,Nike Air Max 90 Reverse Duck Camo (2020),Air Max,90,Air Max 90,Air Max 90,"https://stockx.imgix.net/Nike-Air-Max-90-Reverse-Duck-Camo-2020.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1584067533","https://stockx.imgix.net/Nike-Air-Max-90-Reverse-Duck-Camo-2020.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1584067533","https://stockx.imgix.net/Nike-Air-Max-90-Reverse-Duck-Camo-2020.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1584067533","https://stockx.imgix.net/Nike-Air-Max-90-Reverse-Duck-Camo-2020.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1584067533","https://stockx.imgix.net/Nike-Air-Max-90-Reverse-Duck-Camo-2020.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1584067533","https://stockx.imgix.net/Nike-Air-Max-90-Reverse-Duck-Camo-2020.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1584067533",CW6024-600,Infrared/Black-Dark Sage-Baroque Brown,$140,03/26/2020
5,https://stockx.com/nike-dunk-low-sp-kentucky,Nike Dunk Low SP Kentucky (2020),Basketball,Dunk,Basketball Dunk,Dunk Low SP,"https://stockx-360.imgix.net/Nike-Dunk-Low-SP-Kentucky/Images/Nike-Dunk-Low-SP-Kentucky/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583212362","https://stockx-360.imgix.net/Nike-Dunk-Low-SP-Kentucky/Images/Nike-Dunk-Low-SP-Kentucky/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583212362","https://stockx-360.imgix.net/Nike-Dunk-Low-SP-Kentucky/Images/Nike-Dunk-Low-SP-Kentucky/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583212362","https://stockx-360.imgix.net/Nike-Dunk-Low-SP-Kentucky/Images/Nike-Dunk-Low-SP-Kentucky/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583212362","https://stockx-360.imgix.net/Nike-Dunk-Low-SP-Kentucky/Images/Nike-Dunk-Low-SP-Kentucky/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583212362","https://stockx-360.imgix.net/Nike-Dunk-Low-SP-Kentucky/Images/Nike-Dunk-Low-SP-Kentucky/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1583212362",CU1726-100,White/Varsity Royal,$100,03/14/2020
6,https://stockx.com/nike-air-max-1-london,Nike Air Max 1 London,Air Max,1,Air Max 1,Air Max 1,"https://stockx.imgix.net/Nike-Air-Max-1-London.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1583909335","https://stockx.imgix.net/Nike-Air-Max-1-London.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1583909335","https://stockx.imgix.net/Nike-Air-Max-1-London.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1583909335","https://stockx.imgix.net/Nike-Air-Max-1-London.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1583909335","https://stockx.imgix.net/Nike-Air-Max-1-London.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1583909335","https://stockx.imgix.net/Nike-Air-Max-1-London.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1583909335",CV1639-001,Smoke Grey/Valerian Blue-Dark Smoke Grey,$160,03/19/2020
7,https://stockx.com/nike-sb-dunk-low-travis-scott,Nike SB Dunk Low Travis Scott (Regular Box),SB,Nike SB Dunk Low Travis Scott (Regular Box),SB Nike SB Dunk Low Travis Scott (Regular Box),SB Dunk Low,"https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Travis-Scott/Images/Nike-SB-Dunk-Low-Travis-Scott/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1582235884","https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Travis-Scott/Images/Nike-SB-Dunk-Low-Travis-Scott/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1582235884","https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Travis-Scott/Images/Nike-SB-Dunk-Low-Travis-Scott/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1582235884","https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Travis-Scott/Images/Nike-SB-Dunk-Low-Travis-Scott/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1582235884","https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Travis-Scott/Images/Nike-SB-Dunk-Low-Travis-Scott/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1582235884","https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Travis-Scott/Images/Nike-SB-Dunk-Low-Travis-Scott/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1582235884",CT5053-001,Black/Black-Parachute Beige-Petra Brown,$150,02/29/2020
8,https://stockx.com/nike-sb-dunk-low-atmos-safari,Nike SB Dunk Low Safari,SB,SB Dunk Low,SB SB Dunk Low,SB Dunk Low,"https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Safari/Images/Nike-SB-Dunk-Low-Safari/Lv2/img01.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1580325806","https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Safari/Images/Nike-SB-Dunk-Low-Safari/Lv2/img04.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1580325806","https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Safari/Images/Nike-SB-Dunk-Low-Safari/Lv2/img10.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1580325806","https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Safari/Images/Nike-SB-Dunk-Low-Safari/Lv2/img13.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1580325806","https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Safari/Images/Nike-SB-Dunk-Low-Safari/Lv2/img19.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1580325806","https://stockx-360.imgix.net/Nike-SB-Dunk-Low-Safari/Images/Nike-SB-Dunk-Low-Safari/Lv2/img28.jpg?auto=format,compress&w=559&q=90&dpr=2&updated_at=1580325806",CD2563-002,Black/Orange-Cement Grey-Outdoor green,$100,03/14/2020
9,https://stockx.com/nike-air-max-1-amsterdam,Nike Air Max 1 Amsterdam,Air Max,1,Air Max 1,Air Max 1,"https://stockx.imgix.net/Nike-Air-Max-1-Amsterdam.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1583909333","https://stockx.imgix.net/Nike-Air-Max-1-Amsterdam.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1583909333","https://stockx.imgix.net/Nike-Air-Max-1-Amsterdam.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1583909333","https://stockx.imgix.net/Nike-Air-Max-1-Amsterdam.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1583909333","https://stockx.imgix.net/Nike-Air-Max-1-Amsterdam.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1583909333","https://stockx.imgix.net/Nike-Air-Max-1-Amsterdam.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1583909333",CV1638-200,Red Bark/Khaki-Terra Blush-Dusty Peach,$160,03/19/2020
