,stockx_link,stockx_name,type_1,type_2,type_3,model,right,r_d,straight,l_d,left,back,style,colorway,retailprice,releasedate,primary_colour
0,https://stockx.com/nike-ld-waffle-sacai-white-nylon,Nike LD Waffle Sacai White Nylon,Other,Running,running,LD Waffle Sacai,images/right/Nike_LD_Waffle_Sacai_White_Nylon_right.jpg,images/r_d/Nike_LD_Waffle_Sacai_White_Nylon_r_d.jpg,images/straight/Nike_LD_Waffle_Sacai_White_Nylon_straight.jpg,images/l_d/Nike_LD_Waffle_Sacai_White_Nylon_l_d.jpg,images/left/Nike_LD_Waffle_Sacai_White_Nylon_left.jpg,images/back/Nike_LD_Waffle_Sacai_White_Nylon_back.jpg,BV0073-101,White/White,160.0,2020-03-10,white
1,https://stockx.com/nike-ld-waffle-sacai-black-nylon,Nike LD Waffle Sacai Black Nylon,Other,Running,running,LD Waffle Sacai,images/right/Nike_LD_Waffle_Sacai_Black_Nylon_right.jpg,images/r_d/Nike_LD_Waffle_Sacai_Black_Nylon_r_d.jpg,images/straight/Nike_LD_Waffle_Sacai_Black_Nylon_straight.jpg,images/l_d/Nike_LD_Waffle_Sacai_Black_Nylon_l_d.jpg,images/left/Nike_LD_Waffle_Sacai_Black_Nylon_left.jpg,images/back/Nike_LD_Waffle_Sacai_Black_Nylon_back.jpg,BV0073-002,Black/Black,160.0,2020-03-10,black
2,https://stockx.com/nike-air-force-1-low-supreme-box-logo-white,Nike Air Force 1 Low Supreme White,Air Force,1,air_force_1,Air Force 1,images/right/Nike_Air_Force_1_Low_Supreme_White_right.jpg,images/r_d/Nike_Air_Force_1_Low_Supreme_White_r_d.jpg,images/straight/Nike_Air_Force_1_Low_Supreme_White_straight.jpg,images/l_d/Nike_Air_Force_1_Low_Supreme_White_l_d.jpg,images/left/Nike_Air_Force_1_Low_Supreme_White_left.jpg,images/back/Nike_Air_Force_1_Low_Supreme_White_back.jpg,CU9225-100,White/White-White,96.0,2020-03-05,white
3,https://stockx.com/nike-dunk-low-sp-syracuse,Nike Dunk Low SP Syracuse (2020),Basketball,Other,basketball,Dunk Low,images/right/Nike_Dunk_Low_SP_Syracuse_right.jpg,images/r_d/Nike_Dunk_Low_SP_Syracuse_r_d.jpg,images/straight/Nike_Dunk_Low_SP_Syracuse_straight.jpg,images/l_d/Nike_Dunk_Low_SP_Syracuse_l_d.jpg,images/left/Nike_Dunk_Low_SP_Syracuse_left.jpg,images/back/Nike_Dunk_Low_SP_Syracuse_back.jpg,CU1726-101,WHITE/ORANGE,100.0,03/14/2020,multi-color
4,https://stockx.com/nike-air-max-90-reverse-duck-camo-2020,Nike Air Max 90 Reverse Duck Camo (2020),Air Max,90,air_max_90,Air Max 90,images/right/Nike_Air_Max_90_Reverse_Duck_Camo_2020_right.jpg,images/r_d/Nike_Air_Max_90_Reverse_Duck_Camo_2020_r_d.jpg,images/straight/Nike_Air_Max_90_Reverse_Duck_Camo_2020_straight.jpg,images/l_d/Nike_Air_Max_90_Reverse_Duck_Camo_2020_l_d.jpg,images/left/Nike_Air_Max_90_Reverse_Duck_Camo_2020_left.jpg,images/back/Nike_Air_Max_90_Reverse_Duck_Camo_2020_back.jpg,CW6024-600,Infrared/Black-Dark Sage-Baroque Brown,140.0,2020-03-26,red
5,https://stockx.com/nike-dunk-low-sp-kentucky,Nike Dunk Low SP Kentucky (2020),Basketball,Dunk,basketball,Dunk Low SP,images/right/Nike_Dunk_Low_SP_Kentucky_2020_right.jpg,images/r_d/Nike_Dunk_Low_SP_Kentucky_2020_r_d.jpg,images/straight/Nike_Dunk_Low_SP_Kentucky_2020_straight.jpg,images/l_d/Nike_Dunk_Low_SP_Kentucky_2020_l_d.jpg,images/left/Nike_Dunk_Low_SP_Kentucky_2020_left.jpg,images/back/Nike_Dunk_Low_SP_Kentucky_2020_back.jpg,CU1726-100,White/Varsity Royal,100.0,2020-03-14,white
6,https://stockx.com/nike-air-max-1-london,Nike Air Max 1 London,Air Max,1,air_max_1,Air Max 1,images/right/Nike_Air_Max_1_London_right.jpg,images/r_d/Nike_Air_Max_1_London_r_d.jpg,images/straight/Nike_Air_Max_1_London_straight.jpg,images/l_d/Nike_Air_Max_1_London_l_d.jpg,images/left/Nike_Air_Max_1_London_left.jpg,images/back/Nike_Air_Max_1_London_back.jpg,CV1639-001,Smoke Grey/Valerian Blue-Dark Smoke Grey,160.0,2020-03-19,grey
7,https://stockx.com/nike-sb-dunk-low-travis-scott,Nike SB Dunk Low Travis Scott (Regular Box),SB,Nike SB Dunk Low Travis Scott (Regular Box),skateboarding,SB Dunk Low,images/right/Nike_SB_Dunk_Low_Travis_Scott_Regular_Box_right.jpg,images/r_d/Nike_SB_Dunk_Low_Travis_Scott_Regular_Box_r_d.jpg,images/straight/Nike_SB_Dunk_Low_Travis_Scott_Regular_Box_straight.jpg,images/l_d/Nike_SB_Dunk_Low_Travis_Scott_Regular_Box_l_d.jpg,images/left/Nike_SB_Dunk_Low_Travis_Scott_Regular_Box_left.jpg,images/back/Nike_SB_Dunk_Low_Travis_Scott_Regular_Box_back.jpg,CT5053-001,Black/Black-Parachute Beige-Petra Brown,150.0,2020-02-29,black
8,https://stockx.com/nike-sb-dunk-low-atmos-safari,Nike SB Dunk Low Safari,SB,SB Dunk Low,skateboarding,SB Dunk Low,images/right/Nike_SB_Dunk_Low_Safari_right.jpg,images/r_d/Nike_SB_Dunk_Low_Safari_r_d.jpg,images/straight/Nike_SB_Dunk_Low_Safari_straight.jpg,images/l_d/Nike_SB_Dunk_Low_Safari_l_d.jpg,images/left/Nike_SB_Dunk_Low_Safari_left.jpg,images/back/Nike_SB_Dunk_Low_Safari_back.jpg,CD2563-002,Black/Orange-Cement Grey-Outdoor green,100.0,2020-03-14,black
9,https://stockx.com/nike-air-max-1-amsterdam,Nike Air Max 1 Amsterdam,Air Max,1,air_max_1,Air Max 1,images/right/Nike_Air_Max_1_Amsterdam_right.jpg,images/r_d/Nike_Air_Max_1_Amsterdam_r_d.jpg,images/straight/Nike_Air_Max_1_Amsterdam_straight.jpg,images/l_d/Nike_Air_Max_1_Amsterdam_l_d.jpg,images/left/Nike_Air_Max_1_Amsterdam_left.jpg,images/back/Nike_Air_Max_1_Amsterdam_back.jpg,CV1638-200,Red Bark/Khaki-Terra Blush-Dusty Peach,160.0,2020-03-19,red
10,https://stockx.com/nike-air-force-1-low-supreme-box-logo-black,Nike Air Force 1 Low Supreme Black,Air Force,1,air_force_1,Air Force 1,images/right/Nike_Air_Force_1_Low_Supreme_Black_right.jpg,images/r_d/Nike_Air_Force_1_Low_Supreme_Black_r_d.jpg,images/straight/Nike_Air_Force_1_Low_Supreme_Black_straight.jpg,images/l_d/Nike_Air_Force_1_Low_Supreme_Black_l_d.jpg,images/left/Nike_Air_Force_1_Low_Supreme_Black_left.jpg,images/back/Nike_Air_Force_1_Low_Supreme_Black_back.jpg,CU9225-001,Black/Black-Black,96.0,2020-03-05,black
11,https://stockx.com/nike-blazer-mid-77-vintage-white-black,Nike Blazer Mid 77 Vintage White Black,Basketball,Other,basketball,Blazer Mid 77,images/right/Nike_Blazer_Mid_77_Vintage_White_Black_right.jpg,images/r_d/Nike_Blazer_Mid_77_Vintage_White_Black_r_d.jpg,images/straight/Nike_Blazer_Mid_77_Vintage_White_Black_straight.jpg,images/l_d/Nike_Blazer_Mid_77_Vintage_White_Black_l_d.jpg,images/left/Nike_Blazer_Mid_77_Vintage_White_Black_left.jpg,images/back/Nike_Blazer_Mid_77_Vintage_White_Black_back.jpg,BQ6806-100,Black/Sail-White,100.0,2019-03-25,black
12,https://stockx.com/nike-dunk-low-off-white-michigan,Nike Dunk Low Off-White University Gold Midnight Navy,Basketball,Dunk,basketball,Dunk Low Off-White,images/right/Nike_Dunk_Low_Off-White_University_Gold_Midnight_Navy_right.jpg,images/r_d/Nike_Dunk_Low_Off-White_University_Gold_Midnight_Navy_r_d.jpg,images/straight/Nike_Dunk_Low_Off-White_University_Gold_Midnight_Navy_straight.jpg,images/l_d/Nike_Dunk_Low_Off-White_University_Gold_Midnight_Navy_l_d.jpg,images/left/Nike_Dunk_Low_Off-White_University_Gold_Midnight_Navy_left.jpg,images/back/Nike_Dunk_Low_Off-White_University_Gold_Midnight_Navy_back.jpg,CT0856-700,University Gold/Midnight Navy-White,170.0,2019-12-20,yellow
