,stockx_name,right,r_d,straight,l_d,left,back,type_3
298,Nike Air Force 1 Low '07 White Obsidian,images/right/Nike_Air_Force_1_Low_'07_White_Obsidian_right.jpg,images/r_d/Nike_Air_Force_1_Low_'07_White_Obsidian_r_d.jpg,images/straight/Nike_Air_Force_1_Low_'07_White_Obsidian_straight.jpg,images/l_d/Nike_Air_Force_1_Low_'07_White_Obsidian_l_d.jpg,images/left/Nike_Air_Force_1_Low_'07_White_Obsidian_left.jpg,images/back/Nike_Air_Force_1_Low_'07_White_Obsidian_back.jpg,air_force_1
874,Nike Air Max Plus Triple Black,images/right/Nike_Air_Max_Plus_Triple_Black_right.jpg,images/r_d/Nike_Air_Max_Plus_Triple_Black_r_d.jpg,images/straight/Nike_Air_Max_Plus_Triple_Black_straight.jpg,images/l_d/Nike_Air_Max_Plus_Triple_Black_l_d.jpg,images/left/Nike_Air_Max_Plus_Triple_Black_left.jpg,images/back/Nike_Air_Max_Plus_Triple_Black_back.jpg,air_max
491,Nike Air Foamposite One Shattered Backboard,images/right/Nike_Air_Foamposite_One_Shattered_Backboard_right.jpg,images/r_d/Nike_Air_Foamposite_One_Shattered_Backboard_r_d.jpg,images/straight/Nike_Air_Foamposite_One_Shattered_Backboard_straight.jpg,images/l_d/Nike_Air_Foamposite_One_Shattered_Backboard_l_d.jpg,images/left/Nike_Air_Foamposite_One_Shattered_Backboard_left.jpg,images/back/Nike_Air_Foamposite_One_Shattered_Backboard_back.jpg,foamposite
453,Nike Air Max 97 All-Over Print Black Red,images/right/Nike_Air_Max_97_All-Over_Print_Black_Red_right.jpg,images/r_d/Nike_Air_Max_97_All-Over_Print_Black_Red_r_d.jpg,images/straight/Nike_Air_Max_97_All-Over_Print_Black_Red_straight.jpg,images/l_d/Nike_Air_Max_97_All-Over_Print_Black_Red_l_d.jpg,images/left/Nike_Air_Max_97_All-Over_Print_Black_Red_left.jpg,images/back/Nike_Air_Max_97_All-Over_Print_Black_Red_back.jpg,air_max_97
331,Nike Air Force 1 Type,images/right/Nike_Air_Force_1_Type_right.jpg,images/r_d/Nike_Air_Force_1_Type_r_d.jpg,images/straight/Nike_Air_Force_1_Type_straight.jpg,images/l_d/Nike_Air_Force_1_Type_l_d.jpg,images/left/Nike_Air_Force_1_Type_left.jpg,images/back/Nike_Air_Force_1_Type_back.jpg,air_force_1
846,Nike Daybreak Wheat Black (W),images/right/Nike_Daybreak_Wheat_Black_W_right.jpg,images/r_d/Nike_Daybreak_Wheat_Black_W_r_d.jpg,images/straight/Nike_Daybreak_Wheat_Black_W_straight.jpg,images/l_d/Nike_Daybreak_Wheat_Black_W_l_d.jpg,images/left/Nike_Daybreak_Wheat_Black_W_left.jpg,images/back/Nike_Daybreak_Wheat_Black_W_back.jpg,running
483,Nike Air Max 97 Metallic Gold,images/right/Nike_Air_Max_97_Metallic_Gold_right.jpg,images/r_d/Nike_Air_Max_97_Metallic_Gold_r_d.jpg,images/straight/Nike_Air_Max_97_Metallic_Gold_straight.jpg,images/l_d/Nike_Air_Max_97_Metallic_Gold_l_d.jpg,images/left/Nike_Air_Max_97_Metallic_Gold_left.jpg,images/back/Nike_Air_Max_97_Metallic_Gold_back.jpg,air_max_97
398,Nike Air Max Goadome 865031 Black,images/right/Nike_Air_Max_Goadome_865031_Black_right.jpg,images/r_d/Nike_Air_Max_Goadome_865031_Black_r_d.jpg,images/straight/Nike_Air_Max_Goadome_865031_Black_straight.jpg,images/l_d/Nike_Air_Max_Goadome_865031_Black_l_d.jpg,images/left/Nike_Air_Max_Goadome_865031_Black_left.jpg,images/back/Nike_Air_Max_Goadome_865031_Black_back.jpg,air_max
234,Nike LeBron 17 Mr. Swackhammer,images/right/Nike_LeBron_17_Mr._Swackhammer_right.jpg,images/r_d/Nike_LeBron_17_Mr._Swackhammer_r_d.jpg,images/straight/Nike_LeBron_17_Mr._Swackhammer_straight.jpg,images/l_d/Nike_LeBron_17_Mr._Swackhammer_l_d.jpg,images/left/Nike_LeBron_17_Mr._Swackhammer_left.jpg,images/back/Nike_LeBron_17_Mr._Swackhammer_back.jpg,basketball
827,Nike SB Dunk Low Diamond Supply Co Canary Diamond (Friends and Family),images/right/Nike_SB_Dunk_Low_Diamond_Supply_Co_Canary_Diamond_Friends_and_Family_right.jpg,images/r_d/Nike_SB_Dunk_Low_Diamond_Supply_Co_Canary_Diamond_Friends_and_Family_r_d.jpg,images/straight/Nike_SB_Dunk_Low_Diamond_Supply_Co_Canary_Diamond_Friends_and_Family_straight.jpg,images/l_d/Nike_SB_Dunk_Low_Diamond_Supply_Co_Canary_Diamond_Friends_and_Family_l_d.jpg,images/left/Nike_SB_Dunk_Low_Diamond_Supply_Co_Canary_Diamond_Friends_and_Family_left.jpg,images/back/Nike_SB_Dunk_Low_Diamond_Supply_Co_Canary_Diamond_Friends_and_Family_back.jpg,skateboarding
