,right,r_d,straight,l_d,left,back,type_3
76,train_set/air_force_1/Nike_Air_Force_1_Low_Clot_Rose_Gold_Silk_Regular_Box_right.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Clot_Rose_Gold_Silk_Regular_Box_r_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Clot_Rose_Gold_Silk_Regular_Box_straight.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Clot_Rose_Gold_Silk_Regular_Box_l_d.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Clot_Rose_Gold_Silk_Regular_Box_left.jpg,train_set/air_force_1/Nike_Air_Force_1_Low_Clot_Rose_Gold_Silk_Regular_Box_back.jpg,air_force_1
1022,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_2_White_Vast_Grey6.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_2_White_Vast_Grey7.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_2_White_Vast_Grey8.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_2_White_Vast_Grey9.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_2_White_Vast_Grey10.jpg,train_set/air_max_vapormax/Nike_Air_VaporMax_Flyknit_2_White_Vast_Grey11.jpg,air_max_vapormax
1189,train_set/air_max_90/Nike_Air_Max_90_City_Pack_Paris_20206.jpg,train_set/air_max_90/Nike_Air_Max_90_City_Pack_Paris_20207.jpg,train_set/air_max_90/Nike_Air_Max_90_City_Pack_Paris_20208.jpg,train_set/air_max_90/Nike_Air_Max_90_City_Pack_Paris_20209.jpg,train_set/air_max_90/Nike_Air_Max_90_City_Pack_Paris_202010.jpg,train_set/air_max_90/Nike_Air_Max_90_City_Pack_Paris_202011.jpg,air_max_90
106,train_set/running/Nike_Air_Presto_Off-White_right.jpg,train_set/running/Nike_Air_Presto_Off-White_r_d.jpg,train_set/running/Nike_Air_Presto_Off-White_straight.jpg,train_set/running/Nike_Air_Presto_Off-White_l_d.jpg,train_set/running/Nike_Air_Presto_Off-White_left.jpg,train_set/running/Nike_Air_Presto_Off-White_back.jpg,running
743,train_set/basketball/Nike_Kyrie_5_Spongebob_Patrick_PS_right.jpg,train_set/basketball/Nike_Kyrie_5_Spongebob_Patrick_PS_r_d.jpg,train_set/basketball/Nike_Kyrie_5_Spongebob_Patrick_PS_straight.jpg,train_set/basketball/Nike_Kyrie_5_Spongebob_Patrick_PS_l_d.jpg,train_set/basketball/Nike_Kyrie_5_Spongebob_Patrick_PS_left.jpg,train_set/basketball/Nike_Kyrie_5_Spongebob_Patrick_PS_back.jpg,basketball
370,train_set/skateboarding/Nike_SB_Dunk_Low_Premium_White_Game_Royal_right.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Premium_White_Game_Royal_r_d.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Premium_White_Game_Royal_straight.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Premium_White_Game_Royal_l_d.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Premium_White_Game_Royal_left.jpg,train_set/skateboarding/Nike_SB_Dunk_Low_Premium_White_Game_Royal_back.jpg,skateboarding
590,train_set/air_max_97/Nike_Air_Max_97_Jacket_Pack_right.jpg,train_set/air_max_97/Nike_Air_Max_97_Jacket_Pack_r_d.jpg,train_set/air_max_97/Nike_Air_Max_97_Jacket_Pack_straight.jpg,train_set/air_max_97/Nike_Air_Max_97_Jacket_Pack_l_d.jpg,train_set/air_max_97/Nike_Air_Max_97_Jacket_Pack_left.jpg,train_set/air_max_97/Nike_Air_Max_97_Jacket_Pack_back.jpg,air_max_97
384,train_set/basketball/Nike_Kyrie_5_White_Denim_right.jpg,train_set/basketball/Nike_Kyrie_5_White_Denim_r_d.jpg,train_set/basketball/Nike_Kyrie_5_White_Denim_straight.jpg,train_set/basketball/Nike_Kyrie_5_White_Denim_l_d.jpg,train_set/basketball/Nike_Kyrie_5_White_Denim_left.jpg,train_set/basketball/Nike_Kyrie_5_White_Denim_back.jpg,basketball
1352,train_set/other/Nike_Air_Fear_of_God_1_Oatmeal6.jpg,train_set/other/Nike_Air_Fear_of_God_1_Oatmeal7.jpg,train_set/other/Nike_Air_Fear_of_God_1_Oatmeal8.jpg,train_set/other/Nike_Air_Fear_of_God_1_Oatmeal9.jpg,train_set/other/Nike_Air_Fear_of_God_1_Oatmeal10.jpg,train_set/other/Nike_Air_Fear_of_God_1_Oatmeal11.jpg,other
835,train_set/running/Nike_React_Boot_Undercover_Brown_right.jpg,train_set/running/Nike_React_Boot_Undercover_Brown_r_d.jpg,train_set/running/Nike_React_Boot_Undercover_Brown_straight.jpg,train_set/running/Nike_React_Boot_Undercover_Brown_l_d.jpg,train_set/running/Nike_React_Boot_Undercover_Brown_left.jpg,train_set/running/Nike_React_Boot_Undercover_Brown_back.jpg,running
